Search keyword report,,,,,,,,,,,,,,,,,,,,
"October 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,
Keyword status,Keyword,Campaign,Quality Score,Landing page exp.,Ad relevance,Exp. CTR,,,,,,,,,,,,,,
Enabled,[best diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[foods to avoid while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[foods to avoid while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[foods to avoid while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet while taking mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while taking mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while taking mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro diet plan pdf],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet plan pdf],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet plan pdf],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet while on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet with mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[mounjaro protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[mounjaro protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average
Enabled,[mounjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet on mounjaro],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro diet meal plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet meal plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet meal plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[mounjaro diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[mounjaro diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[wegovy diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[wegovy diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[wegovy diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[weight loss hydration],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[weight loss hydration],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[weight loss hydration],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet while on ozempic],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[diet while on ozempic],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --,Enabled,[diet while on ozempic],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES, --, --, --, --
Enabled,[zepbound food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound food plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[zepbound eating plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound eating plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound eating plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[zepbound diet and exercise],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet and exercise],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet and exercise],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[zepbound diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet plan],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[best diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[best diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[zepbound protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[zepbound protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average,Enabled,[zepbound protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,2,Below average,Average,Below average
Enabled,[zepbound diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound diet],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[zepbound food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[zepbound food],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet with zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[foods to avoid on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[foods to avoid on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[foods to avoid on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet for zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[diet while on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[diet while on zepbound],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[oikos protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,6,Above average,Average,Below average,Enabled,[oikos protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,6,Above average,Average,Below average,Enabled,[oikos protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,6,Above average,Average,Below average
Enabled,[oikos pro plain yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[oikos pro plain yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[oikos pro plain yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBBrandGoogleEXT_YES,5,Above average,Below average,Below average
Enabled,[oikos greek],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,7,Above average,Above average,Below average,Enabled,[oikos greek],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,7,Above average,Above average,Below average,Enabled,[oikos greek],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,7,Above average,Above average,Below average
Enabled,[danone oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[danone oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[danone oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,5,Above average,Below average,Below average
Enabled,[oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,6,Above average,Average,Below average,Enabled,[oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,6,Above average,Average,Below average,Enabled,[oikos greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_YogurtBrandGoogleEXT_YES,6,Above average,Average,Below average
Enabled,[oikos remix],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_REMIXBrandGoogleEXT_YES,10,Above average,Above average,Above average,Enabled,[oikos remix],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_REMIXBrandGoogleEXT_YES,10,Above average,Above average,Above average,Enabled,[oikos remix],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_REMIXBrandGoogleEXT_YES,10,Above average,Above average,Above average
Enabled,[Oikos Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Where to buy Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Where to buy Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Where to buy Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos High Protein Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos High Protein Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos High Protein Fusion Drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Fusion nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion nutrition],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Digestive health drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Digestive health drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Digestive health drink],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Fusion Mixed Berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Mixed Berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Mixed Berry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Fusion Strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Strawberry],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[Oikos Fusion Vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --,Enabled,[Oikos Fusion Vanilla],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_FusionBrandGoogleEXT_YES, --, --, --, --
Enabled,[protein rich greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[protein rich greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[protein rich greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[greek yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[greek yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[greek yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[greek yogurt with protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[greek yogurt with protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[greek yogurt with protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[yogurt high in protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt high in protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt high in protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[yogurt high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[yogurt for protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt for protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt for protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average
Enabled,[good protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[good protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[good protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[how much protein in greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[how much protein in greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[how much protein in greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[yogurt with high protein],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[high protein snack ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[high protein snack ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average,Enabled,[high protein snack ideas],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,1,Below average,Below average,Below average
Enabled,[high protein greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[high protein greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average,Enabled,[high protein greek yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,3,Average,Below average,Below average
Enabled,[high protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[high protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average,Enabled,[high protein yogurt],USA_EDP_OIKOS_BAUPPC2026_Consid_CPC_All_BlackRTBGenericGoogleEXT_YES,5,Above average,Below average,Below average
